iter	Logloss
0	0.689822019
1	0.6864702525
2	0.6830760691
3	0.6799543693
4	0.6766578271
5	0.6735485638
6	0.670423391
7	0.6674612242
8	0.6643976216
9	0.6613271811
10	0.6583235864
11	0.6554189987
12	0.652444157
13	0.6498490027
14	0.6471909919
15	0.6443974685
16	0.6419260443
17	0.6395224368
18	0.6370851537
19	0.6346644073
20	0.6322463743
21	0.6296258462
22	0.6273069937
23	0.6250909765
24	0.6229538376
25	0.6207257759
26	0.6186341392
27	0.6165359358
28	0.6144219566
29	0.6124646825
30	0.6105521619
31	0.6087224323
32	0.6069458124
33	0.6050498583
34	0.6030727652
35	0.6013053303
36	0.5997361751
37	0.5981556156
38	0.5964738065
39	0.5947866126
40	0.5931462146
41	0.5915499801
42	0.5900246262
43	0.5885841248
44	0.5870069269
45	0.5856322584
46	0.5841394441
47	0.5826135842
48	0.5813384758
49	0.5799508038
50	0.5786554777
51	0.5773742005
52	0.5761146387
53	0.5746598767
54	0.5733798846
55	0.5723714463
56	0.5712471003
57	0.5699753031
58	0.5685973919
59	0.5674759027
60	0.5663743794
61	0.565317477
62	0.5641607111
63	0.5630336192
64	0.5619720505
65	0.5609081763
66	0.5600656427
67	0.558990683
68	0.5580268964
69	0.5569338593
70	0.5559969463
71	0.5550386588
72	0.5539648901
73	0.5530199848
74	0.5521418307
75	0.5512710532
76	0.5503662724
77	0.5494671888
78	0.5485826442
79	0.547760516
80	0.5469805769
81	0.5460786276
82	0.5451810246
83	0.544625824
84	0.543743922
85	0.5428656861
86	0.5421665471
87	0.5414757936
88	0.5407200419
89	0.5399673556
90	0.5392102827
91	0.5384754383
92	0.5378063997
93	0.5370773308
94	0.5363690153
95	0.5356600505
96	0.5348517936
97	0.53417223
98	0.5335622916
99	0.5329032162
100	0.5322296559
101	0.5316108423
102	0.5310949498
103	0.5304719595
104	0.5298562679
105	0.5292665638
106	0.5287364498
107	0.528194044
108	0.5276573229
109	0.5270919862
110	0.5265525995
111	0.5259810479
112	0.5255024835
113	0.5249341044
114	0.5244375119
115	0.5238777895
116	0.5234611018
117	0.5229989948
118	0.52249784
119	0.522156911
120	0.5216823036
121	0.52120797
122	0.5207350835
123	0.5202555389
124	0.5198557785
125	0.5194165495
126	0.5189271802
127	0.5184831157
128	0.5180975143
129	0.517693496
130	0.5172978887
131	0.5168312108
132	0.5163856345
133	0.5159630594
134	0.5155769147
135	0.5151344058
136	0.5146913963
137	0.5142899488
138	0.5139395971
139	0.5134616907
140	0.5131446487
141	0.5128440094
142	0.5124834817
143	0.5121348802
144	0.5118779019
145	0.5116020008
146	0.5111885697
147	0.5109163975
148	0.5105764387
149	0.5101928694
150	0.5098399897
151	0.5094245853
152	0.509085299
153	0.5086684083
154	0.5083094208
155	0.508003005
156	0.5076563561
157	0.5073334103
158	0.5070040972
159	0.5066863212
160	0.5063536043
161	0.5060342859
162	0.5057715192
163	0.505430749
164	0.5051211743
165	0.5049048041
166	0.5045187227
167	0.5042041934
168	0.5039373993
169	0.5036367648
170	0.5033446577
171	0.5030444028
172	0.5027496311
173	0.5024561038
174	0.502182466
175	0.5018819276
176	0.5015811949
177	0.5013330673
178	0.5010525657
179	0.5007856543
180	0.5005316102
181	0.5003003309
182	0.5000059179
183	0.4997489317
184	0.4995358273
185	0.4992878888
186	0.4990120972
187	0.4987969754
188	0.4985572015
189	0.4983046277
190	0.4980705183
191	0.497790512
192	0.4975413847
193	0.4972952412
194	0.4970122735
195	0.4968203314
196	0.4965802858
197	0.4963543616
198	0.4961525912
199	0.495912624
200	0.4957295225
201	0.4954773297
202	0.4952274104
203	0.4949943468
204	0.4947649186
205	0.4945664723
206	0.4943905429
207	0.4941848067
208	0.4940192659
209	0.4937585064
210	0.4936034562
211	0.4934174306
212	0.4932693607
213	0.4930723655
214	0.4928764442
215	0.4927432631
216	0.4925278088
217	0.4923103752
218	0.4921230496
219	0.4919174298
220	0.4916527217
221	0.4914734702
222	0.49128661
223	0.4911162449
224	0.4909613779
225	0.490798293
226	0.490605816
227	0.4904213158
228	0.490204571
229	0.4900172289
230	0.4898570245
231	0.4896558918
232	0.4894496728
233	0.4892643203
234	0.4891058449
235	0.4889509885
236	0.4887446281
237	0.4886505093
238	0.4884819874
239	0.4882836419
240	0.4880944099
241	0.487935244
242	0.4877733006
243	0.4876415238
244	0.487444411
245	0.4872858237
246	0.4870980078
247	0.4869798169
248	0.4868398671
249	0.4866678209
250	0.4864844298
251	0.486328633
252	0.4861102266
253	0.4859887833
254	0.4858297256
255	0.4856735958
256	0.4855248366
257	0.4853902139
258	0.4852441614
259	0.4850934761
260	0.4849248985
261	0.4847919805
262	0.4846459578
263	0.4844715062
264	0.4843310702
265	0.4842314096
266	0.4841010114
267	0.4840011684
268	0.4838298618
269	0.4836648956
270	0.4835155112
271	0.4833792754
272	0.4832083055
273	0.4830725443
274	0.4829550905
275	0.4828259703
276	0.4826679739
277	0.4825374901
278	0.4823736386
279	0.4822743641
280	0.4821393336
281	0.4819746676
282	0.4818724269
283	0.4817453461
284	0.4815917736
285	0.4814587475
286	0.4813201186
287	0.4812038378
288	0.4810950906
289	0.4809593638
290	0.4808199673
291	0.4807200111
292	0.4805960916
293	0.4804818796
294	0.4803612096
295	0.4802145697
296	0.4801101338
297	0.479983575
298	0.4798558369
299	0.4797098222
300	0.4795849124
301	0.4795040613
302	0.4793873521
303	0.4792831032
304	0.4791819548
305	0.4790955444
306	0.4790042377
307	0.4788582855
308	0.4787415713
309	0.4785767885
310	0.4784354232
311	0.4783585857
312	0.4782234923
313	0.4781351387
314	0.4780223321
315	0.477904263
316	0.4777942419
317	0.4776611582
318	0.4775787647
319	0.4774721118
320	0.4773529572
321	0.4772219784
322	0.4771156137
323	0.4770265297
324	0.4769065369
325	0.4768170784
326	0.4767111029
327	0.4765967382
328	0.4764913293
329	0.4763699171
330	0.4762520675
331	0.4761159085
332	0.4760247616
333	0.4759241312
334	0.4758004815
335	0.4757082096
336	0.4755928828
337	0.4755042103
338	0.4753831802
339	0.4753014498
340	0.4752058135
341	0.4750757266
342	0.474977588
343	0.4748560621
344	0.4747790832
345	0.4746711221
346	0.4745669098
347	0.4744880529
348	0.474397286
349	0.474282705
350	0.4742149894
351	0.4741043753
352	0.4740245416
353	0.4739160542
354	0.4738419449
355	0.4737640718
356	0.4736426819
357	0.4735228925
358	0.4734428838
359	0.4733745278
360	0.4732457096
361	0.4731518009
362	0.4730568157
363	0.4729675438
364	0.4728600623
365	0.472754242
366	0.4726471077
367	0.4725546334
368	0.4724420958
369	0.4723610643
370	0.4722785974
371	0.4721778603
372	0.4721085987
373	0.4720000894
374	0.4719172045
375	0.4718307289
376	0.471748547
377	0.471701723
378	0.47163444
379	0.4715166862
380	0.4714230609
381	0.4713476301
382	0.4712707616
383	0.4711614283
384	0.4710752064
385	0.4709635241
386	0.4708645326
387	0.4707511713
388	0.4706580173
389	0.4705679428
390	0.4704452061
391	0.4703609805
392	0.4702830224
393	0.4701897213
394	0.4701241427
395	0.4700492653
396	0.4699887697
397	0.4698991774
398	0.4698192369
399	0.4697227789
400	0.4696794055
401	0.4696118815
402	0.469511744
403	0.4694463141
404	0.4693638073
405	0.4693222852
406	0.4692300913
407	0.469160146
408	0.469094002
409	0.4690104411
410	0.4689555024
411	0.4688845283
412	0.4688075524
413	0.4687166318
414	0.4686401007
415	0.4685820239
416	0.4685249216
417	0.4684669285
418	0.4684064559
419	0.4683036412
420	0.468248802
421	0.4681806046
422	0.468113797
423	0.4680451925
424	0.4679648549
425	0.4679077999
426	0.4678334084
427	0.4677598344
428	0.4676795248
429	0.4676097607
