iter	Passed	Remaining
402	15046	59626
403	15095	59632
404	15142	59633
405	15186	59625
406	15233	59625
407	15288	59654
408	15347	59699
409	15402	59732
410	15457	59762
411	15508	59776
412	15557	59781
413	15606	59785
414	15650	59772
415	15700	59783
416	15747	59779
417	15793	59772
418	15837	59760
419	15882	59750
420	15927	59738
421	15971	59723
422	16016	59711
423	16061	59701
424	16108	59695
425	16150	59674
426	16195	59662
427	16240	59650
428	16285	59636
429	16330	59623
430	16376	59614
431	16422	59606
432	16465	59587
433	16510	59574
434	16555	59561
435	16600	59548
436	16650	59552
437	16699	59553
438	16735	59509
439	16765	59439
440	16808	59419
441	16831	59329
442	16855	59241
443	16891	59196
444	16914	59107
445	16941	59028
446	16977	58985
447	17002	58900
448	17026	58815
449	17063	58774
450	17101	58735
451	17125	58652
452	17162	58609
453	17185	58522
454	17220	58475
455	17245	58392
456	17269	58307
457	17304	58260
458	17341	58221
459	17368	58147
460	17393	58066
461	17417	57983
462	17442	57901
463	17478	57861
464	17516	57821
465	17553	57782
466	17591	57745
467	17622	57686
468	17651	57620
469	17676	57541
470	17714	57504
471	17739	57426
472	17765	57353
473	17792	57280
474	17821	57216
475	17846	57139
476	17872	57064
477	17901	56999
478	17945	56984
479	17987	56961
480	18031	56943
481	18074	56924
482	18118	56906
483	18164	56896
484	18210	56885
485	18255	56868
486	18299	56852
487	18344	56837
488	18387	56816
489	18430	56796
490	18476	56784
491	18521	56768
492	18565	56752
493	18611	56737
494	18657	56725
495	18701	56708
496	18744	56687
497	18788	56667
498	18831	56645
499	18875	56625
500	18925	56624
501	18968	56603
502	19014	56591
503	19059	56572
504	19104	56558
505	19149	56539
506	19196	56529
507	19241	56511
508	19282	56483
509	19328	56468
510	19376	56462
511	19421	56444
512	19466	56426
513	19512	56412
514	19559	56398
515	19603	56380
516	19649	56362
517	19693	56343
518	19737	56321
519	19787	56318
520	19836	56309
521	19890	56317
522	19933	56294
523	19980	56279
524	20024	56259
525	20068	56237
526	20112	56214
527	20155	56190
528	20198	56166
529	20242	56145
530	20288	56126
531	20333	56107
532	20375	56080
533	20419	56057
534	20464	56037
535	20506	56011
536	20550	55987
537	20595	55967
538	20640	55948
539	20687	55931
540	20734	55918
541	20778	55894
542	20828	55889
543	20876	55875
544	20925	55866
545	20973	55852
546	21016	55826
547	21060	55801
548	21105	55780
549	21150	55761
550	21194	55737
551	21238	55712
552	21282	55689
553	21329	55671
554	21362	55618
555	21386	55544
556	21411	55469
557	21436	55396
558	21461	55324
559	21498	55281
560	21534	55236
561	21571	55195
562	21597	55126
563	21623	55055
564	21647	54979
565	21670	54904
566	21707	54861
567	21731	54789
568	21757	54718
569	21784	54652
570	21820	54609
571	21846	54540
572	21871	54468
573	21896	54396
574	21920	54324
575	21956	54281
576	21980	54208
577	22016	54164
578	22051	54120
579	22076	54049
580	22113	54007
581	22136	53933
582	22160	53861
583	22196	53820
584	22232	53775
585	22257	53705
586	22294	53666
587	22320	53599
588	22355	53555
589	22392	53515
590	22429	53473
591	22464	53429
592	22501	53388
593	22536	53344
594	22573	53304
595	22610	53263
596	22645	53219
597	22684	53184
598	22710	53117
599	22737	53054
600	22761	52984
601	22786	52916
602	22823	52875
603	22847	52807
604	22874	52743
605	22902	52682
606	22929	52620
607	22956	52558
608	22985	52499
609	23014	52441
610	23042	52383
611	23072	52328
612	23104	52276
613	23138	52231
614	23167	52174
615	23199	52123
616	23231	52073
617	23266	52030
618	23306	51997
619	23347	51966
620	23388	51937
621	23428	51903
622	23466	51868
623	23502	51826
624	23536	51781
625	23570	51735
626	23605	51691
627	23639	51646
628	23688	51631
629	23733	51610
630	23779	51592
631	23824	51569
632	23867	51544
633	23911	51519
634	23955	51494
635	23998	51468
636	24042	51443
637	24088	51423
638	24130	51394
639	24177	51378
640	24225	51360
641	24272	51342
642	24322	51330
643	24367	51308
644	24412	51285
645	24457	51261
646	24500	51235
647	24543	51208
648	24586	51181
649	24629	51153
650	24672	51125
651	24715	51098
652	24759	51074
653	24805	51053
654	24851	51030
655	24893	51000
656	24938	50977
657	24980	50948
658	25028	50930
659	25072	50903
660	25114	50874
661	25161	50855
662	25204	50827
663	25250	50804
664	25293	50776
665	25337	50751
666	25386	50735
667	25430	50708
668	25475	50683
669	25519	50657
670	25564	50633
671	25607	50604
672	25655	50586
673	25697	50555
674	25741	50530
675	25785	50502
676	25829	50476
677	25871	50446
